Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
39;group;77516; Bachelors;13; Never-married; Adm-clerical; Not-in-family; White; Male;2174;0;40; United-States; <=50K
50;Independant;83311; Bachelors;13; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;13; United-States; <=50K
38;Independant;215646; HS-grad;9; Divorced; Handlers-cleaners; Not-in-family; White; Male;0;0;40; United-States; <=50K
53;Independant;234721; 11th;7; Married-civ-spouse; Handlers-cleaners; Husband; Black; Male;0;0;40; United-States; <=50K
28;Independant;338409; Bachelors;13; Married-civ-spouse; Prof-specialty; Wife; Black; Female;0;0;40; Cuba; <=50K
37;Independant;284582; Masters;14; Married-civ-spouse; Exec-managerial; Wife; White; Female;0;0;40; United-States; <=50K
49;Independant;160187; 9th;5; Married-spouse-absent; Other-service; Not-in-family; Black; Female;0;0;16; Jamaica; <=50K
52;Independant;209642; HS-grad;9; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;45; United-States; >50K
31;Independant;45781; Masters;14; Never-married; Prof-specialty; Not-in-family; White; Female;14084;0;50; United-States; >50K
42;Independant;159449; Bachelors;13; Married-civ-spouse; Exec-managerial; Husband; White; Male;5178;0;40; United-States; >50K
37;Independant;280464; Some-college;10; Married-civ-spouse; Exec-managerial; Husband; Black; Male;0;0;80; United-States; >50K
30;group;141297; Bachelors;13; Married-civ-spouse; Prof-specialty; Husband; Asian-Pac-Islander; Male;0;0;40; India; >50K
23;Independant;122272; Bachelors;13; Never-married; Adm-clerical; Own-child; White; Female;0;0;30; United-States; <=50K
32;Independant;205019; Assoc-acdm;12; Never-married; Sales; Not-in-family; Black; Male;0;0;50; United-States; <=50K
40;Independant;121772; Assoc-voc;11; Married-civ-spouse; Craft-repair; Husband; Asian-Pac-Islander; Male;0;0;40; ?; >50K
34;Independant;245487; 7th-8th;4; Married-civ-spouse; Transport-moving; Husband; Amer-Indian-Eskimo; Male;0;0;45; Mexico; <=50K
25;Independant;176756; HS-grad;9; Never-married; Farming-fishing; Own-child; White; Male;0;0;35; United-States; <=50K
